MTS793|MPT|NLD|1|2|,|-|:|31|1|1|A

Data Acquisition						Time:	104,29639	s	11-3-2021 09:52:22
Time	311.51 Frame Force	311.51 Frame Displacement	Aux Input 8	Aux Input 9	Aux Input 7	Laser 50mm	Laser 50mm2	Laser 25mm
s	kN	mm	V	V	V	mm	mm	mm
9,4526367	-0,26243845	-0,94737989	0,14670247	0,15039521	1,0191962	0,91872418	0,94373	3,184988
9,5498047	-0,51038933	-0,94946128	0,1497238	0,15039521	1,0208746	0,93764526	0,94373	3,1902332
9,6469727	-0,45126289	-0,95480436	0,1493881	0,1497238	1,0161748	0,935543	0,93951684	3,1755462
9,7441406	-0,33638948	-0,95777667	0,1497238	0,15039521	1,0205389	0,93764526	0,94373	3,1891842
9,8413086	-0,5137741	-0,96135855	0,14838098	0,15274513	1,0158391	0,92923588	0,95847571	3,1744971
9,9384766	-0,28066939	-0,96542668	0,1493881	0,15341654	1,0165105	0,935543	0,9626888	3,1765952
10,035645	-0,37491667	-0,96667814	0,1493881	0,15408795	1,0168462	0,935543	0,9669019	3,1776443
10,132813	-0,26286155	-0,97034812	0,15274513	0,15408795	1,0161748	0,95656633	0,9669019	3,1755462
10,22998	-0,51165861	-0,97278148	0,15274513	0,15375224	1,0178533	0,95656633	0,96479529	3,1807914
10,327148	-0,4763943	-0,9777922	0,15240943	0,15341654	1,0161748	0,95446408	0,9626888	3,1755462
10,424316	-0,29837683	-0,98015898	0,15207373	0,15643787	1,0171819	0,9523617	0,98164767	3,1786933
10,521484	-0,45550284	-0,98297507	0,15173802	0,15576647	1,0161748	0,95025933	0,97743464	3,1755462
10,618652	-0,26664075	-0,98704511	0,15207373	0,15610217	1,0128177	0,9523617	0,97954112	3,1650555
10,71582	-0,39199305	-0,99128902	0,15509506	0,15576647	1,0171819	0,97128278	0,97743464	3,1786933
10,812988	-0,32126367	-0,9925139	0,15408795	0,15576647	1,0118107	0,96497571	0,97743464	3,1619084
10,910156	-0,48327863	-0,99661565	0,15509506	0,1587878	1,0175176	0,97128278	0,99639344	3,1797423
11,007324	-0,46727076	-1,0006961	0,15543076	0,1594592	1,0131534	0,97338516	1,0006065	3,1661046
11,104492	-0,39224404	-1,0037283	0,15509506	0,1594592	1,0138248	0,97128278	1,0006065	3,1682026
11,20166	-0,50097173	-1,006097	0,15576647	0,15979491	1,0138248	0,97548753	1,0027131	3,1682026
11,298828	-0,37716126	-1,0100402	0,15845209	0,16013061	1,0138248	0,99230623	1,0048195	3,1682026
11,395996	-0,49835426	-1,0118921	0,15811639	0,1594592	1,0148319	0,99020386	1,0006065	3,1713498
11,493164	-0,35074797	-1,0155689	0,15778069	0,16214484	1,012482	0,98810154	1,0174589	3,1640065
11,590332	-0,57021129	-1,0199729	0,15710928	0,16147342	1,0141605	0,98389679	1,0132457	3,1692517
11,6875	-0,45512277	-1,0216209	0,15811639	0,16248053	1,0134891	0,99020386	1,0195653	3,1671536
11,784668	-0,3154335	-1,0264416	0,15845209	0,16248053	1,0141605	0,99230623	1,0195653	3,1692517
11,881836	-0,42016506	-1,0294061	0,16080202	0,16214484	1,0108035	1,0070226	1,0174589	3,1587608
11,979004	-0,3602283	-1,0315285	0,16080202	0,16516617	1,0094607	1,0070226	1,0364177	3,1545646
12,076172	-0,46820301	-1,0338252	0,16113773	0,16550186	1,0121464	1,009125	1,0385242	3,1629574
12,17334	-0,47432899	-1,0378921	0,16046631	0,16516617	1,0097964	1,0049202	1,0364177	3,1556137
12,270508	-0,54653746	-1,0413851	0,16113773	0,16550186	1,0118107	1,009125	1,0385242	3,1619084
12,367676	-0,51137173	-1,0439183	0,16113773	0,16516617	1,0108035	1,009125	1,0364177	3,1587608
12,464844	-0,40577069	-1,0469006	0,16516617	0,16650899	1,0118107	1,0343531	1,0448439	3,1619084
12,562012	-0,52370083	-1,0515431	0,16315195	0,1675161	1,0104678	1,021739	1,0511636	3,1577117
12,65918	-0,44895378	-1,0543334	0,16315195	0,1675161	1,006775	1,021739	1,0511636	3,146172
12,756348	-0,50786507	-1,0566612	0,16315195	0,1675161	1,0108035	1,021739	1,0511636	3,1587608
12,853516	-0,49971679	-1,0601135	0,16348764	0,1681875	1,0071107	1,0238414	1,0553765	3,1472211
12,950684	-0,64144987	-1,0632155	0,16718039	0,16852321	1,0084536	1,0469671	1,0574832	3,1514175
13,047852	-0,44331005	-1,0684307	0,16684468	0,16785179	1,0071107	1,0448648	1,05327	3,1472211
13,14502	-0,3721199	-1,0717655	0,1675161	0,17154454	1,0081179	1,0490695	1,076442	3,1503685
13,242188	-0,48047471	-1,0738912	0,16718039	0,17120883	1,0081179	1,0469671	1,0743355	3,1503685
13,339355	-0,42786869	-1,0777276	0,16718039	0,17120883	1,0071107	1,0469671	1,0743355	3,1472211
13,436523	-0,58254039	-1,0793822	0,16617328	0,17087312	1,0084536	1,0406601	1,0722288	3,1514175
13,533691	-0,40863198	-1,0842848	0,16684468	0,17120883	1,0071107	1,0448648	1,0743355	3,1472211
13,630859	-0,61229539	-1,0851225	0,16953032	0,17053743	1,0084536	1,0616835	1,0701224	3,1514175
13,728027	-0,53061384	-1,0894419	0,16986601	0,17389446	1,0077822	1,0637859	1,0911878	3,1493194
13,825195	-0,38383943	-1,0935889	0,16953032	0,17389446	1,0050966	1,0616835	1,0911878	3,1409268
13,922363	-0,47269398	-1,0973173	0,16986601	0,17389446	1,0057679	1,0637859	1,0911878	3,1430249
14,019531	-0,48222446	-1,0985357	0,16919461	0,17355876	1,0037538	1,0595812	1,0890812	3,1367307
14,116699	-0,55870694	-1,101452	0,17221594	0,17355876	1,0054322	1,0785023	1,0890812	3,1419759
14,213867	-0,3893899	-1,106141	0,17322305	0,17490157	1,0047609	1,0848093	1,0975074	3,1398778
14,311035	-0,60330993	-1,1089268	0,17322305	0,17725149	1,0064393	1,0848093	1,1122531	3,145123
14,408203	-0,53490937	-1,1124467	0,17288736	0,17725149	1,0050966	1,082707	1,1122531	3,1409268
14,505371	-0,53427112	-1,1162527	0,17288736	0,17725149	1,0054322	1,082707	1,1122531	3,1419759
14,602539	-0,45718092	-1,1184441	0,17288736	0,17691579	1,0061036	1,082707	1,1101466	3,144074
14,699707	-0,53733325	-1,1223323	0,17557298	0,17691579	1,0044252	1,0995257	1,1101466	3,1388288
14,796875	-0,53864735	-1,1259686	0,17523727	0,17658009	1,0024109	1,0974233	1,1080401	3,132534
14,894043	-0,32758147	-1,1289126	0,17590868	0,17993712	1,0017395	1,1016281	1,1291054	3,1304359
14,991211	-0,62101734	-1,1324484	0,17557298	0,18027283	1,0027466	1,0995257	1,131212	3,1335831
15,088379	-0,53862584	-1,1361928	0,17523727	0,17960142	1,0020752	1,0974233	1,1269989	3,131485
15,185547	-0,51021719	-1,1383028	0,17859431	0,17960142	1,0020752	1,1184468	1,1269989	3,131485
15,282715	-0,4657433	-1,1413367	0,17825861	0,17960142	1,0030823	1,1163446	1,1269989	3,1346321
15,379883	-0,58330768	-1,1456505	0,1779229	0,18195134	1,0007324	1,1142422	1,1417447	3,1272888
